Epoch;TotalLivingAnimals;TotalDeadAnimals;TotalPlants;MeanEnergy;MeanLifespan;MeanChildrenCount;DominatingGenome
1;82;0;2;18.56;0.00;0.05;00000000000000001222234444566677
2;85;0;4;16.98;0.00;0.12;00000000000000001222234444566677
3;87;0;6;15.62;0.00;0.16;00000000000000001222234444566677
4;91;0;7;14.42;0.00;0.24;00000000000000001222234444566677
5;95;0;9;12.88;0.00;0.32;00000000000000001222234444566677
6;100;0;10;11.73;0.00;0.40;00001223344444444444455555666677
7;103;0;11;10.82;0.00;0.45;00001223344444444444455555666677
8;105;0;13;9.63;0.00;0.48;00001223344444444444455555666677
9;102;4;14;9.32;2.78;0.49;00001223344444444444455555666677
10;100;6;15;8.91;3.80;0.48;00001223344444444444455555666677
11;94;12;17;8.48;6.82;0.50;00000000000000001222234444566677
12;91;15;18;8.20;7.92;0.49;00000000000000001222234444566677
13;87;19;19;8.03;9.62;0.51;00000000000000001222234444566677
14;82;24;21;7.52;12.79;0.46;00000000000000001222234444566677
15;76;30;23;7.12;16.53;0.39;00000000000000001222234444566677
16;73;33;24;6.96;18.31;0.33;00000000000000001222234444566677
17;66;40;26;6.70;23.65;0.26;00000000000111223445555567777777
18;55;51;28;7.04;32.72;0.11;00000000000111223445555567777777
19;53;53;28;7.81;32.89;0.08;00000000000111223445555567777777
20;52;54;27;9.27;32.00;0.08;00000000000111223445555567777777
21;11;96;29;32.09;70.48;0.55;00011233344455555555555556666677
22;11;96;31;31.09;67.27;0.55;00011233344455555555555556666677
23;11;96;32;33.73;64.35;0.55;00011233344455555555555556666677
24;11;96;33;36.36;61.67;0.55;00011233344455555555555556666677
25;11;96;35;35.36;59.20;0.55;00011233344455555555555556666677
26;11;96;37;34.36;56.92;0.55;00011233344455555555555556666677
27;11;96;39;33.36;54.81;0.55;00011233344455555555555556666677
28;11;96;40;36.00;52.86;0.55;00011233344455555555555556666677
29;11;96;41;38.64;51.03;0.55;00011233344455555555555556666677
30;11;96;42;41.27;49.33;0.55;00011233344455555555555556666677
31;11;96;44;40.27;47.74;0.55;00011233344455555555555556666677
32;11;96;46;39.27;46.25;0.55;00011233344455555555555556666677
33;11;96;48;38.27;44.85;0.55;00011233344455555555555556666677
34;11;96;49;40.91;43.53;0.55;00011233344455555555555556666677
35;11;96;51;39.91;42.29;0.55;00011233344455555555555556666677
36;11;96;53;38.91;41.11;0.55;00011233344455555555555556666677
37;10;97;55;41.80;40.97;0.40;00011233344455555555555556666677
38;11;97;57;37.18;39.89;0.55;00011233344455555555555556666677
39;12;97;59;33.17;38.87;0.67;00011233344455555555555556666677
40;12;97;60;35.50;37.90;0.67;00011233344455555555555556666677
41;11;98;61;41.36;37.46;0.73;00011233344455555555555556666677
42;12;98;63;37.08;36.57;0.83;00011233344455555555555556666677
43;12;98;65;36.08;35.72;0.83;00011233344455555555555556666677
44;13;98;65;38.54;34.91;0.92;00011233344455555555555556666677
45;14;98;67;34.86;34.13;1.00;00111111233334444455555555556677
46;14;98;69;33.86;33.39;1.00;00111111233334444455555555556677
47;15;98;71;30.73;32.68;1.07;00111111233334444455555555556677
48;15;98;72;32.40;32.00;1.07;00111111233334444455555555556677
49;15;98;73;34.07;31.35;1.07;00111111233334444455555555556677
50;16;98;74;33.56;30.72;1.13;00000000000000112334444445566777
51;15;99;74;40.13;31.08;1.13;00000000000000112334444445566777
52;14;100;75;44.86;31.46;1.14;00000000000000112334444445566777
53;14;100;75;49.57;30.87;1.14;00000000000000112334444445566777
54;15;100;77;45.33;30.30;1.20;00111122333333333334556777777777
55;16;100;78;44.13;29.75;1.25;00111122333333333334556777777777
56;18;100;79;40.61;29.21;1.33;00111122333333333334556777777777
57;18;101;79;44.17;29.68;1.39;00111122333333333334556777777777
58;19;101;77;49.32;29.17;1.42;00111122333333333334556777777777
59;18;102;77;55.50;28.97;1.39;00111122333333333334556777777777
60;18;102;78;56.72;28.48;1.39;00111122333333333334556777777777
61;18;103;79;58.06;29.00;1.50;00111122333333333334556777777777
62;19;103;80;56.21;28.53;1.53;00111122333333333334556777777777
63;19;103;80;59.42;28.08;1.53;00111122333333333334556777777777
64;19;103;81;60.53;27.64;1.53;00111122333333333334556777777777
65;19;103;83;59.53;27.22;1.53;00111122333333333334556777777777
66;19;103;83;62.74;26.80;1.53;00111122333333333334556777777777
67;19;103;84;63.84;26.40;1.53;00111122333333333334556777777777
68;20;103;86;59.75;26.01;1.55;00111122333333333334556777777777
69;21;103;87;57.86;25.64;1.57;00111122333333333334556777777777
70;21;103;88;58.76;25.27;1.57;00111122333333333334556777777777
71;21;103;90;57.76;24.92;1.57;00111122333333333334556777777777
72;22;103;90;57.82;24.57;1.59;00111122333333333334556777777777
73;21;104;91;61.48;24.47;1.62;00111122333333333334556777777777
74;22;104;93;57.77;24.14;1.64;00111122333333333334556777777777
75;22;104;93;60.41;23.81;1.64;00111122333333333334556777777777
76;22;104;92;64.86;23.50;1.64;00111122333333333334556777777777
77;22;104;89;72.95;23.19;1.64;00111122333333333334556777777777
78;22;104;89;75.59;22.90;1.64;00111122333333333334556777777777
79;21;105;91;78.19;22.91;1.62;00111122333333333334556777777777
80;20;106;90;87.10;22.77;1.60;00111122333333333334556777777777
81;20;106;92;86.10;22.49;1.60;00111122333333333334556777777777
82;21;106;93;83.00;22.22;1.62;00111122333333333334556777777777
83;21;106;94;83.90;21.95;1.62;00111122333333333334556777777777
84;21;106;96;82.90;21.69;1.62;00111122333333333334556777777777
85;21;106;97;83.81;21.44;1.62;00111122333333333334556777777777
86;21;106;95;90.43;21.19;1.62;00111122333333333334556777777777
87;20;107;95;95.95;21.11;1.70;00111122333333333334556777777777
88;20;107;96;96.95;20.88;1.70;00111122333333333334556777777777
89;20;107;97;97.95;20.64;1.70;00111122333333333334556777777777
90;20;107;98;98.95;20.41;1.70;00111122333333333334556777777777
91;20;107;98;101.95;20.19;1.70;00111122333333333334556777777777
92;20;107;100;100.95;19.97;1.70;00111122333333333334556777777777
93;20;107;99;105.95;19.75;1.70;00111122333333333334556777777777
94;20;107;100;106.95;19.54;1.70;00111122333333333334556777777777
95;20;107;100;109.95;19.34;1.70;00111122333333333334556777777777
96;20;107;100;112.95;19.14;1.70;00111122333333333334556777777777
97;20;107;102;111.95;18.94;1.70;00111122333333333334556777777777
98;20;107;104;110.95;18.74;1.70;00111122333333333334556777777777
99;20;107;106;109.95;18.56;1.70;00111122333333333334556777777777
100;20;107;108;108.95;18.37;1.70;00111122333333333334556777777777
101;19;108;109;115.79;18.61;1.79;00111122333333333334556777777777
102;19;108;109;119.00;18.43;1.79;00111122333333333334556777777777
103;19;108;110;120.11;18.25;1.79;00111122333333333334556777777777
104;19;108;112;119.11;18.08;1.79;00111122333333333334556777777777
105;19;108;113;120.21;17.90;1.79;00111122333333333334556777777777
106;20;108;114;115.25;17.74;1.80;00000000000011111111223344444567
107;20;108;113;120.25;17.57;1.80;00000000000011111111223344444567
108;20;108;114;121.25;17.41;1.80;00000000000011111111223344444567
109;20;108;114;124.25;17.25;1.80;00000000000011111111223344444567
110;20;108;114;127.25;17.09;1.80;00000000000011111111223344444567
111;20;108;116;126.25;16.94;1.80;00000000000011111111223344444567
112;20;108;117;127.25;16.79;1.80;00000000000011111111223344444567
113;20;108;118;128.25;16.64;1.80;00000000000011111111223344444567
114;20;108;120;127.25;16.49;1.80;00000000000011111111223344444567
115;21;108;118;127.86;16.35;1.81;00000000000011111111223344444567
116;21;108;118;130.67;16.21;1.81;00000000000011111111223344444567
117;21;108;118;133.48;16.07;1.81;00000000000011111111223344444567
118;22;108;117;131.91;15.93;1.82;00000000000011111111223344444567
119;23;108;118;126.96;15.80;1.83;00000000000011111111223344444567
120;23;108;116;132.91;15.67;1.83;00000000000011111111223344444567
121;23;108;116;135.39;15.54;1.83;00000000000011111111223344444567
122;23;108;117;136.13;15.41;1.83;00000000000011111111223344444567
123;23;108;118;136.87;15.28;1.83;00000000000011111111223344444567
124;24;108;119;131.88;15.16;1.83;00000000000011111111223344444567
125;26;108;120;122.38;15.04;1.85;00000000000123333333455556667777
126;27;108;119;121.33;14.92;1.85;00000000000123333333455556667777
127;28;108;119;118.93;14.80;1.86;00000000000123333333455556667777
128;29;108;119;116.62;14.69;1.86;00000000000123333333455556667777
129;29;108;121;115.62;14.57;1.86;00000000000123333333455556667777
130;30;108;120;114.83;14.46;1.87;00000000000123333333455556667777
131;30;108;117;120.50;14.35;1.87;00000000000123333333455556667777
132;30;108;118;120.83;14.24;1.87;00000000000123333333455556667777
133;30;108;119;121.17;14.14;1.87;00000000000123333333455556667777
134;30;108;119;122.83;14.03;1.87;00000000000123333333455556667777
135;30;108;118;125.83;13.93;1.87;00000000000123333333455556667777
136;30;108;118;127.50;13.82;1.87;00000000000123333333455556667777
137;30;108;119;127.83;13.72;1.87;00000000000123333333455556667777
138;31;108;116;129.19;13.62;1.87;00000000000123333333455556667777
139;31;108;116;130.77;13.53;1.87;00000000000123333333455556667777
140;31;108;114;134.94;13.43;1.87;00000000000123333333455556667777
141;32;108;114;132.25;13.33;1.88;00000000000123333333455556667777
142;32;108;115;132.50;13.24;1.88;00000000000123333333455556667777
143;32;108;115;134.00;13.15;1.88;00000000000123333333455556667777
144;32;108;116;134.25;13.06;1.88;00000000000123333333455556667777
145;34;108;114;130.12;12.97;1.88;00000000000123333333455556667777
146;35;108;113;128.86;12.88;1.89;00000000000123333333455556667777
147;36;108;111;128.75;12.79;1.89;00000000000123333333455556667777
148;36;108;112;128.86;12.70;1.89;00000000000123333333455556667777
149;36;108;113;128.97;12.62;1.89;00000000000123333333455556667777
150;37;108;112;127.78;12.53;1.89;00000000000123333333455556667777
