Epoch;TotalLivingAnimals;TotalDeadAnimals;TotalPlants;MeanEnergy;MeanLifespan;MeanChildrenCount;DominatingGenome
1;82;0;2;47.80;0.00;0.05;00000000001111111233344444455667
2;83;0;3;46.72;0.00;0.07;00000000001111111233344444455667
3;84;0;5;45.19;0.00;0.10;00000000001111111233344444455667
4;85;0;6;44.15;0.00;0.12;00000000001111111233344444455667
5;85;0;8;43.15;0.00;0.12;00000000001111111233344444455667
6;87;0;10;41.18;0.00;0.16;00000000001111111233344444455667
7;89;0;12;39.29;0.00;0.20;00000000001111111233344444455667
8;90;0;14;37.88;0.00;0.22;00000000001111111233344444455667
9;93;0;13;37.00;0.00;0.28;00000000001111111233344444455667
10;95;0;14;35.66;0.00;0.32;00000000001111111233344444455667
11;97;0;16;33.97;0.00;0.35;00000000001111111233344444455667
12;101;0;16;32.48;0.00;0.42;00000000001111111233344444455667
13;102;0;18;31.17;0.00;0.43;00000000001111111233344444455667
14;105;0;19;29.69;0.00;0.48;00000000001111111233344444455667
15;109;0;21;27.66;0.00;0.53;00000000001111111233344444455667
16;110;1;21;27.16;0.63;0.55;00000000001111111233344444455667
17;110;1;23;26.16;0.59;0.55;00000000001111111233344444455667
18;110;2;24;25.54;1.17;0.56;00000000001111111233344444455667
19;110;2;25;24.90;1.11;0.56;00000000001111111233344444455667
20;111;3;27;23.71;1.55;0.59;00000000001111111233344444455667
21;111;4;27;23.44;2.05;0.60;00000000001111111233344444455667
22;108;7;29;23.09;4.23;0.60;00000000001111111233344444455667
23;107;9;30;22.70;5.13;0.62;00000000001111111233344444455667
24;107;9;31;22.07;4.92;0.62;00000000001111111233344444455667
25;107;12;31;21.48;6.80;0.65;00000000001111111233344444455667
26;105;14;30;22.03;8.04;0.67;00000000001111111233344444455667
27;103;16;32;21.46;9.07;0.68;00000000001111111233344444455667
28;103;16;33;20.84;8.75;0.68;00000000001111111233344444455667
29;99;20;33;21.49;10.69;0.69;00000000001111111233344444455667
30;97;22;34;21.35;11.57;0.70;00000000001111111233344444455667
31;94;25;34;21.88;13.29;0.70;00000000001111111233344444455667
32;92;27;36;21.36;14.81;0.67;00000000001111111233344444455667
33;87;32;37;22.05;18.00;0.67;00000000001111111233344444455667
34;85;35;37;22.52;19.94;0.66;00000000001111111233344444455667
35;83;38;37;23.05;21.37;0.67;00000000000001222234444444556777
36;79;42;37;24.23;24.14;0.63;00000000000001222234444444556777
37;78;43;38;24.05;23.86;0.64;00000000000001222234444444556777
38;78;44;39;23.58;23.58;0.67;00000000000001222234444444556777
39;77;45;37;24.96;23.95;0.66;00000000000001222234444444556777
40;77;45;38;24.48;23.35;0.66;00000000000001222234444444556777
41;73;49;40;24.82;26.68;0.64;00000000000001222234444444556777
